generation,individual_id,Gap,Polearc,Mag_th,Bs0,AvgTorque,TorqueRipple,AvgEfficiency,is_valid
0,0,0.350593,0.739326,4.432138,3.171587,2.61994631146074,164.75560328985173,85.9558407479193,1
0,1,0.966587,0.773512,4.328975,1.892794,4.14515199654142,37.56702700929509,91.5722696959694,1
0,2,0.321585,0.702838,3.466227,3.11459,3.08512910158994,184.69157659962772,92.2441602550177,1
0,3,0.78635,0.677384,3.438143,2.87681,4.34761094929404,41.06996729954936,92.5091431613586,1
0,4,0.416149,0.748265,2.529538,2.637229,3.04919582318435,69.2397144968684,91.2500872567047,1
0,5,0.905998,0.696896,2.907607,3.144865,4.36265921235325,43.58103350285729,90.2355764104115,1
0,6,0.856386,0.747204,3.927831,2.116395,4.07843909075097,18.037490085833888,92.3708000078237,1
0,7,0.811234,0.705037,2.604268,2.488178,3.99019242127798,53.08236697072489,90.1571522881177,1
0,8,0.68091,0.662415,3.83974,2.296781,4.24831362603062,57.909581122273245,93.1756273891638,1
0,9,0.893524,0.714633,3.322287,2.351236,4.30026062249915,49.31903804747428,91.925325988655,1
0,10,0.518422,0.727724,3.021377,2.430361,3.42647712504535,77.89626444980351,92.7358270050126,1
0,11,0.527551,0.668782,4.183927,2.240079,3.89384428388501,82.3329429177393,93.6656054759028,1
0,12,0.41923,0.721013,3.585282,3.396662,3.15982415574263,173.3813883629853,91.3826158024587,1
0,13,0.642995,0.716264,3.215747,2.965137,3.76332484768549,94.36809363097287,92.7841290526488,1
0,14,0.300488,0.680382,3.580326,1.779324,3.2914893471628,152.93682302866432,93.2856771917674,1
0,15,0.69521,0.733151,2.940638,2.849359,3.74783619563362,66.2124878442358,91.76896695509,1
0,16,0.93404,0.74284,3.793775,1.578391,4.25984104439214,23.94624161326164,92.3605419090761,1
0,17,0.496053,0.682893,2.555136,1.68097,3.49417915147493,73.63761527187198,92.4148313889614,1
0,18,0.476007,0.709885,3.113066,2.830421,3.42902010539211,126.19825485922527,93.1536915386142,1
0,19,0.668589,0.65393,3.993218,1.597891,4.28209481221767,55.51819180986887,92.8729485764342,1
0,20,0.834727,0.761908,2.788156,1.936757,3.85315903544024,21.54686518461136,90.132792340362,1
0,21,0.573405,0.656383,3.072461,2.276375,3.89472631470101,68.65802213426878,92.4176476332942,1
0,22,0.379789,0.75568,3.637937,3.013099,2.79663936321583,76.0523638697771,87.8928396139252,1
0,23,0.603947,0.665866,4.399809,2.007051,4.11603233614519,71.02737835229935,93.614891714328,1
0,24,0.810163,0.65827,3.258804,3.355141,4.50302624222163,69.48213769908688,91.1269598042711,1
0,25,0.709366,0.753673,2.651392,2.565244,3.62225514315486,33.54297847460397,90.4715457803795,1
0,26,0.951106,0.765782,4.150752,3.064525,4.10935712186266,28.30086154692126,90.6886870801067,1
0,27,0.728887,0.687756,4.490319,3.264194,4.23157245527846,66.33664278635159,93.6268490430243,1
0,28,0.609527,0.72506,3.770976,1.655868,3.70814930197374,45.83470959115055,93.3945641405553,1
0,29,0.877707,0.670096,3.731121,2.388319,4.60697260890798,40.152955314209,92.219970703682,1
0,30,0.472338,0.692286,3.391656,3.239072,3.54327307508561,108.77422563524006,93.4436890333396,1
0,31,0.552208,0.719863,4.210092,2.540416,3.49838889011389,102.09819471588821,92.5141759943717,1
0,32,0.917092,0.695547,2.740174,2.066219,4.23015545544061,35.395036699634154,89.4905230731133,1
0,33,0.437397,0.771049,4.077506,1.965771,2.93722842702267,111.13650582339287,88.838973759961,1
0,34,0.656891,0.750513,2.995993,2.136577,3.61054170563244,24.55448242118554,91.8054524605648,1
0,35,0.360573,0.690016,3.688492,3.441511,3.26454566417826,139.42313033650413,92.6888842209834,1
0,36,0.401742,0.67384,2.841951,2.729907,3.42303092904083,82.41554490410975,93.3360173695339,1
0,37,0.975153,0.708055,4.031281,2.686001,4.61394690544745,51.146672800519454,92.6656394875157,1
0,38,0.580117,0.698973,3.369215,3.309284,3.75835404085562,101.42132695496402,93.2700113240729,1
0,39,0.453771,0.741993,4.35349,1.853917,3.16260813027388,63.54533398827733,91.0536998536161,1
0,40,0.842747,0.729285,3.875744,1.530471,4.16056648730738,23.51658546270203,93.0252221126345,1
0,41,0.62526,0.652019,4.090424,2.935483,4.25406585108608,77.68042323810829,93.2556498154088,1
