generation,individual_id,Gap,Polearc,Mag_th,Bs0,AvgTorque,TorqueRipple,AvgEfficiency,is_valid
10,0,0.801894,0.657386,4.339451,3.15137,4.68609773153006,65.80528686244557,93.018913407889,1
10,1,0.842747,0.731239,3.875744,1.530471,4.14881007653261,23.063173748466458,92.9963614460837,1
10,2,0.954621,0.67509,4.359802,3.156326,4.91540543099092,38.235082123636765,92.8029135840516,1
10,3,0.994225,0.652153,4.133039,3.288531,5.17318747216733,62.75576568789775,91.32528807101,1
10,4,0.856386,0.674516,4.346114,2.333049,4.61928905661509,41.66867877402973,93.250307476338,1
10,5,0.675402,0.729285,3.875744,1.530471,4.42477192803427,29.591485657155413,93.3552833935461,1
10,6,0.856447,0.747204,3.927831,2.116395,4.07917345873564,18.13206057319746,92.3718617047495,1
10,7,0.856447,0.747204,3.927831,2.116395,4.07917345873564,18.13206057319746,92.3718617047495,1
10,8,0.997872,0.678089,3.167901,1.836486,4.58451481221489,27.19224602348381,89.8484644539141,1
10,9,0.976567,0.740987,3.929995,1.916643,4.37884055670343,16.142988350641723,92.2877054004736,1
10,10,0.991919,0.67509,4.339451,3.151041,4.99611114907272,36.41816142305077,92.5700595317289,1
10,11,0.991592,0.727795,4.098823,1.634927,4.49162033604242,19.863637480699207,92.6680508884988,1
10,12,0.975153,0.656643,4.031281,2.686001,4.97857041491688,47.174056332548645,92.6721009101179,1
10,13,0.999411,0.655359,4.492521,1.690977,5.02318513871863,37.12114696152707,91.8785565518394,1
10,14,0.724159,0.678857,4.089806,2.871491,4.2800647983018,50.81096736033815,93.595644234969,1
10,15,0.999395,0.677492,4.096633,2.741082,4.91498363777541,33.12901690677255,92.2558020566305,1
10,16,0.801331,0.729249,4.353304,1.51573,4.09441475317122,28.22573601760349,93.3718953939303,1
10,17,0.997083,0.719588,4.095967,1.532039,4.54678422426848,25.231900989975752,92.6811069110104,1
10,18,0.997545,0.669637,3.153648,1.872118,4.61173806070857,30.391042748947417,89.5107302520751,1
10,19,0.724159,0.677899,4.339214,2.871491,4.30159294376184,52.62720512753861,93.691905906929,1
10,20,0.998067,0.662111,4.11108,3.149696,5.07521282629547,50.34286699859317,91.7356741741828,1
10,21,0.862386,0.678577,4.075333,2.344792,4.56978224091407,40.63285080498666,93.041887840301,1
10,22,0.842747,0.731239,3.875744,1.530471,4.14881007653271,23.063173748467587,92.9963614460836,1
10,23,0.950132,0.74284,4.472718,1.639491,4.30672330042166,26.67877006185739,92.8591323860322,1
10,24,0.840274,0.761908,3.038771,2.268143,3.90823067186911,15.518070860003796,90.6532066194329,1
10,25,0.986425,0.719588,4.092068,1.532039,4.52592889849115,25.489698404059137,92.7286571274471,1
10,26,0.968067,0.677362,4.097393,2.871676,4.85527210901318,34.5297771637577,92.4602012156007,1
10,27,0.950408,0.74284,4.492646,1.690977,4.30989097463334,25.60248234799963,92.8499387248626,1
10,28,0.801894,0.657386,4.339451,3.15137,4.68609773153,65.80528686245238,93.0189134078998,1
10,29,0.801894,0.657386,4.339451,3.15137,4.68609773153,65.80528686245238,93.0189134078998,1
10,30,0.976964,0.674023,4.340312,1.986195,4.86350313528687,34.89514659963319,92.5660663157659,1
10,31,0.856386,0.742448,3.927831,2.116395,4.11070792876809,17.895896750605957,92.3708000078237,1
10,32,0.999411,0.655359,4.492521,1.912945,5.05043979358877,38.60847602881255,91.9347078144192,1
10,33,0.802801,0.729285,4.329507,1.553519,4.0887171434695,27.939321670711735,93.3522754234676,1
10,34,0.975106,0.656643,4.341982,2.686001,5.04186745448638,47.66506505438524,92.0520639546103,1
10,35,0.802801,0.729285,4.334529,1.512185,4.09353254727643,27.952142847319884,93.3693971344888,1
10,36,0.977496,0.729285,3.875744,1.530471,4.42477192803427,18.136833845267393,92.4442959548485,1
10,37,0.949962,0.74284,4.49472,1.635962,4.30899307740106,26.75974830683692,92.875062164635,1
10,38,0.848823,0.729281,3.86281,1.565685,4.17308521917222,23.794381021057486,92.9870335797823,1
10,39,0.976163,0.651124,4.342907,3.137315,5.15659839809744,61.301215399152134,91.7689113149452,1
10,40,0.856386,0.674516,4.107141,2.338132,4.58653342585859,40.63570561103816,93.0310267391868,1
10,41,0.997872,0.680733,3.167901,1.836486,4.57403487223343,26.75202343970505,89.9371011243631,1
10,42,0.967896,0.677362,4.114941,2.358104,4.81046267717686,33.946744330916715,92.4810686851827,1
10,43,0.917361,0.740894,4.151058,1.758021,4.25972945099693,21.78975619923682,92.7443085012432,1
10,44,0.955622,0.674284,4.492521,2.892359,4.90599787651372,37.88944519750367,92.9437395542754,1
10,45,0.806073,0.67509,4.339451,3.151041,4.54643077002619,45.23665427441717,93.4515691350124,1
10,46,0.802801,0.729285,4.329507,1.553519,4.08871714346937,27.939321670712136,93.352275423468,1
10,47,0.949724,0.676272,4.492521,2.892359,4.87402958019528,37.16724795149888,93.0162882704108,1
